Property,Date,Unit,Price,Listing status,Beds,Baths,ft�
20 Pine Street,04/13/2020,#1606,"$1,055,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,04/04/2020,#906,"$1,150,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1100
20 Pine Street,04/01/2020,#1706,"$1,075,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,03/25/2020,#1513,"$1,995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,03/22/2020,#514,"$1,395,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1204
20 Pine Street,03/21/2020,#1517,"$899,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,03/18/2020,#2801,"$2,155,000","Sold (asking: $2,550,000.00 -15.49%)",3 beds,3 baths,1808
20 Pine Street,03/11/2020,#1408,"$1,395,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1200
20 Pine Street,02/28/2020,#2101,$0,Recorded Closing,3 beds,3 baths,2373
20 Pine Street,02/28/2020,#2101,"$2,760,000","Sold (asking: $3,525,000.00 -21.7%)",3 beds,3 baths,2373
20 Pine Street,02/26/2020,#2206,"$2,100,000","Sold (asking: $2,350,000.00 -10.64%)",3 beds,2 baths,1807
20 Pine Street,02/07/2020,#1001,$0,Recorded Closing,,,
20 Pine Street,02/06/2020,#2606,"$1,250,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,956
20 Pine Street,02/04/2020,#2203,"$860,000","Sold (asking: $910,000.00 -5.49%)",studio,1 bath,820
20 Pine Street,01/29/2020,#1516,"$1,030,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1100
20 Pine Street,01/28/2020,#1909,"$2,215,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,01/28/2020,#509 (Commercial Unit),$0,Recorded Closing,,1 bath,662
20 Pine Street,01/23/2020,#PH41,"$3,000,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1476
20 Pine Street,01/23/2020,#1601,$0,Recorded Closing,,1 bath,1005
20 Pine Street,01/22/2020,#719,"$935,000","Sold (asking: $950,000.00 -1.58%)",1 bed,1 bath,826
20 Pine Street,01/16/2020,#2110,$0,Recorded Closing,,1 bath,607
20 Pine Street,01/13/2020,#1210,"$1,050,000","Sold (asking: $1,099,000.00 -4.46%)",1 bed,1 bath,1101
20 Pine Street,01/10/2020,#501,"$1,300,000","Sold (asking: $1,350,000.00 -3.7%)",1 bed,2 baths,1276
20 Pine Street,12/31/2019,#611,"$1,095,000","Sold (asking: $1,195,000.00 -8.37%)",studio,1 bath,1223
20 Pine Street,12/23/2019,#2802,"$735,000","Sold (asking: $750,000.00 -2.0%)",studio,1 bath,731
20 Pine Street,12/19/2019,#1611,"$1,150,000","Sold (asking: $1,250,000.00 -8.0%)",studio,1 bath,1223
20 Pine Street,12/18/2019,#1910,"$975,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,607
20 Pine Street,12/04/2019,#1206,"$1,295,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1100
20 Pine Street,12/03/2019,#1603,$0,Recorded Closing,,1 bath,656
20 Pine Street,11/12/2019,#1602,"$1,850,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1277
20 Pine Street,11/12/2019,#1911,$0,Recorded Closing,,1 bath,595
20 Pine Street,11/07/2019,#809,"$715,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,659
20 Pine Street,11/05/2019,#2113,"$995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,855
20 Pine Street,11/04/2019,#PH42,"$2,649,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1842
20 Pine Street,10/31/2019,#719,"$950,000",Sold (cannot find gov't record),1 bed,1 bath,826
20 Pine Street,10/30/2019,#2115,"$760,000","Sold (asking: $760,000.00)",studio,1 bath,703
20 Pine Street,10/18/2019,#1507,"$850,000",Sold (cannot find gov't record),studio,1 bath,675
20 Pine Street,10/15/2019,#1105,"$1,050,000","Sold (asking: $1,095,000.00 -4.11%)",studio,1 bath,1100
20 Pine Street,10/07/2019,#1909,"$2,215,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,10/05/2019,#507,"$775,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,09/06/2019,#1911,"$996,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,595
20 Pine Street,08/19/2019,#1512,"$825,000","Sold (asking: $869,000.00 -5.06%)",studio,1 bath,800
20 Pine Street,08/16/2019,#1216,"$930,000",Recorded Closing,1 bed,1 bath,1005
20 Pine Street,08/14/2019,#2314,"$1,095,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,
20 Pine Street,08/13/2019,#1903,"$1,200,000","Sold (asking: $1,230,000.00 -2.44%)",studio,1 bath,820
20 Pine Street,08/09/2019,#PH42,"$2,650,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1772
20 Pine Street,08/08/2019,#3304,"$2,215,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1575
20 Pine Street,08/07/2019,#909,"$747,000","Sold (asking: $747,000.00)",studio,1 bath,662
20 Pine Street,07/30/2019,#1413,"$1,750,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,07/29/2019,#1212,"$800,000","Sold (asking: $835,000.00 -4.19%)",studio,1 bath,785
20 Pine Street,07/15/2019,#1417,"$800,000","Sold (asking: $820,000.00 -2.44%)",studio,1 bath,888
20 Pine Street,07/12/2019,#719,"$998,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,826
20 Pine Street,07/12/2019,#407,"$940,000","Sold (asking: $950,000.00 -1.05%)",studio,1 bath,1063
20 Pine Street,07/01/2019,#2503,"$987,500",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,706
20 Pine Street,07/01/2019,#2215,"$848,000","Sold (asking: $875,000.00 -3.09%)",studio,1 bath,705
20 Pine Street,07/01/2019,#2415,"$875,000","Sold (asking: $885,000.00 -1.13%)",studio,1 bath,700
20 Pine Street,06/29/2019,#1412,"$850,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,800
20 Pine Street,06/25/2019,#2103,"$870,000","Sold (asking: $875,000.00 -0.57%)",studio,1 bath,820
20 Pine Street,06/20/2019,#1911,"$999,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,595
20 Pine Street,06/17/2019,#1806,"$1,040,000","Sold (asking: $1,070,000.00 -2.8%)",studio,1 bath,1070
20 Pine Street,06/14/2019,#3204,"$2,000,000","Sold (asking: $2,195,000.00 -8.88%)",2 beds,2 baths,1573
20 Pine Street,06/07/2019,#2406,"$2,230,000",Recorded Closing,2 beds,2 baths,1807
20 Pine Street,05/30/2019,#1016,"$1,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,05/22/2019,#1713,"$1,875,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,04/23/2019,#512,"$835,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,786
20 Pine Street,04/17/2019,#1602,"$1,800,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1277
